calibration_type,mean_predicted_probability,observed_positive_fraction
uncalibrated,0.1499375394500656,0.0
uncalibrated,0.1742753369988049,0.007320644216691069
uncalibrated,0.20672876930636272,0.005124450951683748
uncalibrated,0.2991451961520313,0.010256410256410256
uncalibrated,0.37256715352762526,0.02635431918008785
uncalibrated,0.4473758970709299,0.040995607613469986
uncalibrated,0.5002132961496761,0.06373626373626373
uncalibrated,0.5380414739193345,0.07759882869692533
uncalibrated,0.5806249461564653,0.11493411420204978
uncalibrated,0.65359169097655,0.15739385065885797
sigmoid_calibrated,0.003621328508779826,0.0
sigmoid_calibrated,0.00430111706161067,0.007320644216691069
sigmoid_calibrated,0.0054652456318770495,0.005124450951683748
sigmoid_calibrated,0.010467622495971296,0.010256410256410256
sigmoid_calibrated,0.01766333426385207,0.02635431918008785
sigmoid_calibrated,0.029504931067279788,0.040995607613469986
sigmoid_calibrated,0.042237308429065375,0.06373626373626373
sigmoid_calibrated,0.05449921008651649,0.07759882869692533
sigmoid_calibrated,0.07268129270998845,0.11493411420204978
sigmoid_calibrated,0.1171247730386238,0.15739385065885797
